iter	Passed	Remaining
0	57	57036
1	57	28742
2	58	19284
3	58	14545
4	59	11779
5	59	9895
6	60	8526
7	60	7497
8	61	6720
9	61	6083
10	62	5592
11	62	5164
12	63	4788
13	63	4481
14	64	4207
15	64	3963
16	64	3744
17	65	3554
18	65	3395
19	66	3239
20	66	3097
21	66	2974
22	67	2853
23	67	2743
24	68	2653
25	68	2567
26	69	2487
27	69	2412
28	69	2342
29	70	2279
30	70	2218
31	71	2158
32	71	2102
33	72	2048
34	72	2001
35	73	1955
36	73	1917
37	74	1875
38	74	1835
39	75	1803
40	75	1764
41	75	1726
42	75	1690
43	76	1656
44	76	1631
45	77	1603
46	77	1575
47	78	1551
48	78	1528
49	79	1504
50	79	1478
51	79	1455
52	80	1434
53	80	1414
54	81	1398
55	81	1377
56	82	1360
57	82	1343
58	83	1325
59	83	1315
60	84	1296
61	84	1279
62	85	1265
63	85	1252
64	86	1238
65	86	1226
66	87	1212
67	87	1198
68	87	1183
69	88	1170
70	88	1159
71	89	1148
72	90	1143
73	90	1131
74	90	1119
75	91	1106
76	91	1094
77	91	1083
78	92	1076
79	92	1068
80	93	1060
81	93	1049
82	93	1037
83	94	1027
84	94	1019
85	95	1011
86	95	1002
87	95	994
88	96	984
89	96	977
90	96	968
91	97	959
92	97	953
93	98	945
94	98	939
95	99	933
96	99	927
97	100	920
98	100	913
99	100	907
100	101	901
101	101	895
102	102	889
103	102	883
104	102	877
105	103	871
106	103	865
107	104	861
108	104	854
109	104	848
110	105	842
111	105	836
112	105	830
113	106	825
114	106	820
115	108	827
116	108	821
117	109	819
118	109	813
119	110	807
120	110	802
121	110	798
122	111	794
123	112	791
124	112	787
125	112	783
126	113	778
127	113	774
128	114	771
129	114	767
130	115	765
131	115	761
132	116	757
133	116	753
134	116	749
135	117	745
136	117	740
137	118	737
138	118	733
139	118	729
140	119	727
141	119	722
142	119	719
143	120	715
144	120	713
145	121	711
146	122	708
147	122	705
148	123	702
149	123	698
150	123	694
151	124	692
152	124	690
153	125	687
154	126	687
155	126	684
156	126	681
157	127	678
158	127	675
159	128	672
160	128	668
161	128	664
162	129	662
163	129	659
164	129	657
165	130	654
166	130	653
167	131	650
168	131	647
